english_name;suggested_russian_name;confidence;ambiguity_reason;number_of_in_stock_parttypes;total_in_stock_qty;manufacturers;catalog;sample_articles;applications;name_contains_russian;multi_meaning;split_by_source;safe_bulk_group;parts_with_this_english_name_total;parttypes_in_whole_catalog;suggested_operator_decision
GROMMET;Втулка резиновая;HIGH;;3;9.000;BRP;BRP;517303756, 293720008, 293720058;;нет;нет;нет;да;3;3;APPROVE
RUBBER BOOT;Пыльник резиновый;HIGH;;3;9.000;BRP;BRP;715900118, 705401093, 272000001;;нет;нет;нет;да;3;3;APPROVE
RUBBER STOPPER;Упор резиновый;HIGH;;3;8.000;BRP;BRP;605348439, 503191291, 503190576;;нет;нет;нет;да;3;3;APPROVE
PROX PISTON KIT SKI-DOOMXZ500 LEGEND 500;Лыжа PROX поршень комплект DOOMXZ500 LEGEND 500;NEEDS_HUMAN_REVIEW;"не переведены слова: DOOMXZ500, LEGEND; многозначные слова, одним переводом на всю базу не закрывается: KIT";3;8.000;PROX;aftermarket;01.5400.000, 01.5400.050, 01.5400.100;;нет;да;нет;нет;3;3;EDIT
GUARD;Защита;HIGH;;3;7.000;BRP;BRP;271002228, 271002225, 417009205;;нет;нет;нет;да;3;3;APPROVE
RUBBER MOUNT;Опора резиновый;HIGH;;3;6.000;BRP;BRP;512060448, 512059691, 512060564;;нет;нет;нет;да;3;4;APPROVE
SPI CRANK WEB SKI-DOO PTO SIDE;Лыжа SPI CRANK WEB DOO PTO SIDE;NEEDS_HUMAN_REVIEW;"не переведены слова: CRANK, DOO, PTO, SIDE, WEB; многозначные слова, одним переводом на всю базу не закрывается: WEB";3;6.000;SPI;aftermarket;SM-09188-4A, SM-09188-2, SM-09188-4;;нет;да;нет;нет;3;7;EDIT
WILDBOAR BRAKE PADS FULL METAL;Колодки тормозные WILDBOAR FULL металлический;NEEDS_HUMAN_REVIEW;не переведены слова: FULL;3;6.000;WILDBOAR;aftermarket;AT-05266F, AT-05267F, AT-05015F;;нет;нет;нет;нет;3;49;EDIT
AIR FILTER;Фильтр воздушный;HIGH;;3;4.000;BRP;BRP;707800288, 508000568, 508000609;;нет;нет;нет;да;3;3;APPROVE
COVER;Крышка;HIGH;;3;4.000;BRP;BRP;706000749, 420910821, 415129685;;нет;нет;нет;да;3;3;APPROVE
DRIVE SLIDING SHEAVE ASSY;Щека шкива приводной SLIDING в сборе;NEEDS_HUMAN_REVIEW;"не переведены слова: SLIDING; многозначные слова, одним переводом на всю базу не закрывается: ASSY";3;4.000;BRP;BRP;417224044, 420280467, 417224101;;нет;да;нет;нет;3;3;EDIT
SLIDER SHOE;Ползун направляющей;MEDIUM;у слова несколько принятых переводов, выберите нужный: SHOE;2;32.000;BRP;BRP;417223021, 417223919;СНЕГОХОД;нет;нет;нет;нет;2;2;EDIT
ROLLER_PULLEY;Ролик шкива;HIGH;;2;27.000;BRP;BRP;417127943, 417127016;;нет;нет;нет;да;2;2;APPROVE
DAMPER_VIBRATION;Демпфер VIBRATION;NEEDS_HUMAN_REVIEW;не переведены слова: VIBRATION;2;21.000;BRP;BRP;512061507, 512061516;;нет;нет;нет;нет;2;2;EDIT
FILTER_FUEL;Фильтр топливный;HIGH;;2;19.000;BRP;BRP;513034047, 513034279;;нет;нет;нет;да;2;2;APPROVE
CLAMP;Хомут;HIGH;;2;13.000;BRP;BRP;420851508, 420851110;;нет;нет;нет;да;2;2;APPROVE
LOWER EXHAUST VALVE;Клапан выпускной нижний;HIGH;;2;13.000;BRP;BRP;420954054, 420854904;;нет;нет;нет;да;2;2;APPROVE
GRIP;Рукоятка;HIGH;;2;11.000;BRP;BRP;506152483, 506152486;;нет;нет;нет;да;2;2;APPROVE
CHAIN GUIDE;Направляющая цепь;MEDIUM;проверьте порядок слов: CHAIN;2;11.000;BRP;BRP;420236351, 420236584;;нет;нет;нет;нет;2;2;EDIT
INSULATION_THERMAL;;NEEDS_HUMAN_REVIEW;головное слово не распознано;2;10.000;BRP;BRP;506153177, 506153176;;нет;нет;нет;нет;2;2;REVIEW
SPARK PLUG NGK PFR7AB;Свеча зажигания NGK PFR7AB;NEEDS_HUMAN_REVIEW;не переведены слова: PFR7AB;2;10.000;BRP;BRP;415131139, 415129484;;нет;нет;нет;нет;2;2;EDIT
WHEEL CAP;Колпак колеса;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;2;8.000;BRP;BRP;570063600, 705400520;;нет;нет;нет;нет;2;3;EDIT
BUSHING HALF;Втулка HALF;NEEDS_HUMAN_REVIEW;"не переведены слова: HALF; многозначные слова, одним переводом на всю базу не закрывается: HALF";2;8.000;BRP;BRP;420233980, 420233995;;нет;да;нет;нет;2;2;EDIT
BALL JOINT;Шаровая опора;HIGH;;2;7.000;BRP;BRP;706202044, 204120074;;нет;нет;нет;да;2;3;APPROVE
BLACK HANDLE;Ручка чёрный;HIGH;;2;7.000;BRP;BRP;505072976, 505070963;;нет;нет;нет;да;2;2;APPROVE
ROLLER;Ролик;HIGH;;2;7.000;BRP;BRP;417222947, 417127189;СНЕГОХОД;нет;нет;нет;да;2;2;APPROVE
IMPELLER BOOT;Пыльник крыльчатки;HIGH;;2;6.000;BRP;BRP;267000206, 271000516;;нет;нет;нет;да;2;2;APPROVE
CARBURETOR SOCKET;Гнездо карбюратор;MEDIUM;проверьте порядок слов: CARBURETOR;2;6.000;BRP;BRP;420867105, 420867300;;нет;нет;нет;нет;2;2;EDIT
GASKET VALVE ROD HOUSING;Корпус прокладка клапан ROD;NEEDS_HUMAN_REVIEW;"не переведены слова: ROD; многозначные слова, одним переводом на всю базу не закрывается: ROD";2;6.000;BRP;BRP;420430037, 420631001;;нет;да;нет;нет;2;2;EDIT
HALF BUSHING;Втулка HALF;NEEDS_HUMAN_REVIEW;"не переведены слова: HALF; многозначные слова, одним переводом на всю базу не закрывается: HALF";2;6.000;BRP;BRP;420933442, 420933862;;нет;да;нет;нет;2;4;EDIT
PAWL;;NEEDS_HUMAN_REVIEW;головное слово не распознано;2;6.000;BRP;BRP;420852633, 420852639;;нет;нет;нет;нет;2;2;REVIEW
PROX PISTON KIT SKI-DOO MXZ600 '99-01;Лыжа PROX поршень комплект DOO MXZ600 '99 01;NEEDS_HUMAN_REVIEW;"не переведены слова: '99, DOO, MXZ600; многозначные слова, одним переводом на всю базу не закрывается: KIT";2;6.000;PROX;aftermarket;01.5699.050, 01.5699.000;;нет;да;нет;нет;2;3;EDIT
PROX PISTON KIT SKI-DOO MZX550;Лыжа PROX поршень комплект DOO MZX550;NEEDS_HUMAN_REVIEW;"не переведены слова: DOO, MZX550; многозначные слова, одним переводом на всю базу не закрывается: KIT";2;6.000;PROX;aftermarket;01.5503.000, 01.5503.100;;нет;да;нет;нет;2;3;EDIT
PUMP_HYDRAULIC;Насос HYDRAULIC;NEEDS_HUMAN_REVIEW;не переведены слова: HYDRAULIC;2;6.000;BRP;BRP;519000376, 519000375;;нет;нет;нет;нет;2;2;EDIT
RUBBER RING;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: RING";2;6.000;BRP;BRP;420931590, 420850045;;нет;да;нет;нет;2;2;REVIEW
WEAR RING;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: RING";2;6.000;BRP;BRP;705400036, 277001874;;нет;да;нет;нет;2;2;REVIEW
BELLOWS;Гофра;HIGH;;2;5.000;BRP;BRP;420260725, 272000184;;нет;нет;нет;да;2;2;APPROVE
PIN;Палец;HIGH;;2;5.000;BRP;BRP;417222594, 417224510;;нет;нет;нет;да;2;2;APPROVE
WEAR PLATE;Пластина WEAR;NEEDS_HUMAN_REVIEW;не переведены слова: WEAR;2;5.000;BRP;BRP;706201660, 505072634;;нет;нет;нет;нет;2;2;EDIT
PLASTIC NUT;Гайка пластиковый;HIGH;;2;4.000;BRP;BRP;512060671, 512059094;;нет;нет;нет;да;2;2;APPROVE
STOPPER;Упор;HIGH;;2;4.000;BRP;BRP;514055203, 512060395;;нет;нет;нет;да;2;2;APPROVE
CLEAR HANDLE BAR;Ручка CLEAR BAR;NEEDS_HUMAN_REVIEW;"не переведены слова: BAR, CLEAR; многозначные слова, одним переводом на всю базу не закрывается: BAR";2;4.000;BRP;BRP;506152709, 506152708;;нет;да;нет;нет;2;2;EDIT
ROTARY SEAL;Сальник ROTARY;NEEDS_HUMAN_REVIEW;не переведены слова: ROTARY;2;4.000;BRP;BRP;420650371, 420650370;;нет;нет;нет;нет;2;2;EDIT
BELT DRIVE;Ремень вариатора;HIGH;;2;3.000;BRP;BRP;422280366, 422280283;;нет;нет;нет;да;2;2;APPROVE
INTAKE NECK;Горловина впускной;HIGH;;2;3.000;BRP;BRP;420267042, 420267340;;нет;нет;нет;да;2;2;APPROVE
O RING;Кольцо уплотнительное;HIGH;;2;3.000;BRP;BRP;614602431, 293300185;;нет;нет;нет;да;2;2;APPROVE
Seal;Сальник;HIGH;;2;3.000;BRP;BRP;5444186, 614103562;;нет;нет;нет;да;2;2;APPROVE
THERMOSTAT;Термостат;HIGH;;2;3.000;BRP;BRP;420822655, 420922519;;нет;нет;нет;да;2;2;APPROVE
AIR FILTER RH, (NITEX MESH);Фильтр воздушный правый NITEX сетка;MEDIUM;проверьте порядок слов: MESH;2;3.000;BRP;BRP;508000906, 508000806;;нет;нет;нет;нет;2;2;EDIT
HOOD LATCH;Защёлка капот;MEDIUM;проверьте порядок слов: HOOD;2;3.000;BRP;BRP;570027100, 5342952;;нет;нет;нет;нет;2;2;EDIT
OIL PUMP SHAFT;Насос масляный вал;MEDIUM;проверьте порядок слов: SHAFT;2;3.000;BRP;BRP;420820090, 420237059;;нет;нет;нет;нет;2;2;EDIT
SPRING SEAT;Сиденье пружина;MEDIUM;проверьте порядок слов: SPRING;2;3.000;BRP;BRP;417222312, 230076;;нет;нет;нет;нет;2;2;EDIT
WATER PUMP HOUSING;Насос водяной корпус;MEDIUM;проверьте порядок слов: HOUSING;2;3.000;BRP;BRP;420822287, 420822285;;нет;нет;нет;нет;2;2;EDIT
CLAMP_CRIMP;Хомут CRIMP;NEEDS_HUMAN_REVIEW;не переведены слова: CRIMP;2;3.000;BRP;BRP;293650350, 293650332;;нет;нет;нет;нет;2;2;EDIT
DOUBLE GASKET 0.7 MM;Прокладка DOUBLE 0.7 MM;NEEDS_HUMAN_REVIEW;не переведены слова: DOUBLE;2;3.000;BRP;BRP;420831022, 420430082;;нет;нет;нет;нет;2;2;EDIT
NEOPRENE SEAL;Сальник NEOPRENE;NEEDS_HUMAN_REVIEW;не переведены слова: NEOPRENE;2;3.000;BRP;BRP;293200134, 293200087;;нет;нет;нет;нет;2;2;EDIT
OEM STYLE PISTON KIT WITH RINGS TEFLON COATED STD.;Поршень OEM STYLE комплект WITH RINGS TEFLON COATED STD.;NEEDS_HUMAN_REVIEW;"не переведены слова: COATED, OEM, RINGS, STD., STYLE, TEFLON, WITH; многозначные слова, одним переводом на всю базу не закрывается: KIT";2;3.000;SPI;aftermarket;09-780, 09-830;;нет;да;нет;нет;2;52;EDIT
SPI MAG CRANK WEB;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: WEB";2;3.000;SPI;aftermarket;SM-09188-5A, SM-09375;;нет;да;нет;нет;2;2;REVIEW
BUMPER;Бампер;HIGH;;2;2.000;BRP;BRP;514053352, 514054275;;нет;нет;нет;да;2;2;APPROVE
DECAL RH;Наклейка правый;HIGH;;2;2.000;BRP;BRP;516008458, 516007614;;нет;нет;нет;да;2;2;APPROVE
LENS;Рассеиватель;HIGH;;2;2.000;BRP;BRP;415129320, 414513700;;нет;нет;нет;да;2;3;APPROVE
FRAME CORNER LH;;NEEDS_HUMAN_REVIEW;головное слово не распознано;2;2.000;BRP;BRP;518325524, 518325643;;нет;нет;нет;нет;2;2;REVIEW
FRAME CORNER RH;;NEEDS_HUMAN_REVIEW;головное слово не распознано;2;2.000;BRP;BRP;518325644, 518328024;;нет;нет;нет;нет;2;2;REVIEW
GUARD_MUD;Защита MUD;NEEDS_HUMAN_REVIEW;не переведены слова: MUD;2;2.000;BRP;BRP;705004888, 705004889;;нет;нет;нет;нет;2;2;EDIT
IMPELLER RING;Крыльчатка RING;NEEDS_HUMAN_REVIEW;"не переведены слова: RING; многозначные слова, одним переводом на всю базу не закрывается: RING";2;2.000;BRP;BRP;271000517, 271001153;;нет;да;нет;нет;2;2;EDIT
MICROSWITCH;;NEEDS_HUMAN_REVIEW;головное слово не распознано;2;2.000;BRP;BRP;507032597, 507032479;;нет;нет;нет;нет;2;2;REVIEW
NAMURA PWC CONNECTING ROD;Шатун NAMURA PWC;NEEDS_HUMAN_REVIEW;не переведены слова: NAMURA, PWC;2;2.000;NAMURA TECHNOLOGIES;aftermarket;RW-10002, RW-10001;;нет;нет;нет;нет;2;22;EDIT
SIDE DECAL LH;Наклейка SIDE левый;NEEDS_HUMAN_REVIEW;не переведены слова: SIDE;2;2.000;BRP;BRP;516007613, 516008457;;нет;нет;нет;нет;2;2;EDIT
THROTTLE CABLE;Трос THROTTLE;NEEDS_HUMAN_REVIEW;не переведены слова: THROTTLE;2;2.000;BRP;BRP;512061326, 512060885;;нет;нет;нет;нет;2;2;EDIT
шайба;;NEEDS_HUMAN_REVIEW;"название уже содержит русский текст; в самом названии карточки уже есть русский текст";1;50.000;;нет;14YETISHIM;;да;нет;нет;нет;1;1;REVIEW
Гильза маслонасоса;;NEEDS_HUMAN_REVIEW;"название уже содержит русский текст; в самом названии карточки уже есть русский текст";1;44.000;;нет;10F;СНЕГОХОД;да;нет;нет;нет;1;1;REVIEW
LOCKING CLIP;Клипса LOCKING;NEEDS_HUMAN_REVIEW;не переведены слова: LOCKING;1;36.000;BRP;BRP;513033135;;нет;нет;нет;нет;1;1;EDIT
FUEL FILTER;Фильтр топливный;HIGH;;1;32.000;BRP;BRP;415129510;;нет;нет;нет;да;1;1;APPROVE
BOOT;Пыльник;HIGH;;1;21.000;BRP;BRP;508000548;;нет;нет;нет;да;1;1;APPROVE
RIVET_POP 3/16 X ,550;Заклёпка POP 3 16 X 550;NEEDS_HUMAN_REVIEW;не переведены слова: POP;1;21.000;BRP;BRP;390402300;;нет;нет;нет;нет;1;1;EDIT
SPARK PLUG NGK MR7BI-8;Свеча зажигания NGK MR7BI 8;NEEDS_HUMAN_REVIEW;не переведены слова: MR7BI;1;20.000;BRP;BRP;415129670;;нет;нет;нет;нет;1;1;EDIT
FRONT CAM SLIDER SHOE, BLACK;Ползун направляющей передний CAM чёрный;NEEDS_HUMAN_REVIEW;"не переведены слова: CAM; многозначные слова, одним переводом на всю базу не закрывается: CAM";1;19.000;BRP;BRP;417126374;;нет;да;нет;нет;1;1;EDIT
WINDSHIELD LATCH;Защёлка ветровое стекло;MEDIUM;проверьте порядок слов: WINDSHIELD;1;18.000;BRP;BRP;570023800;;нет;нет;нет;нет;1;1;EDIT
CHROME WHEEL NUT M10 X 1.25;Гайка CHROME колесо M10 X 1.25;NEEDS_HUMAN_REVIEW;не переведены слова: CHROME;1;18.000;BRP;BRP;250100185;;нет;нет;нет;нет;1;1;EDIT
VALVE STEM SEAL;Сальник клапан STEM;NEEDS_HUMAN_REVIEW;не переведены слова: STEM;1;18.000;BRP;BRP;420230515;;нет;нет;нет;нет;1;1;EDIT
Cam slide shoe;Ползун CAM SLIDE;NEEDS_HUMAN_REVIEW;"не переведены слова: CAM, SLIDE; многозначные слова, одним переводом на всю базу не закрывается: CAM";1;17.000;BRP;BRP;140068;;нет;да;нет;нет;1;1;EDIT
LOCKING PLATE;Пластина LOCKING;NEEDS_HUMAN_REVIEW;не переведены слова: LOCKING;1;17.000;BRP;BRP;517304538;;нет;нет;нет;нет;1;1;EDIT
LOWER VIBRATION RING;;NEEDS_HUMAN_REVIEW;"головное слово не распознано; многозначные слова, одним переводом на всю базу не закрывается: RING";1;17.000;BRP;BRP;506152518;;нет;да;нет;нет;1;1;REVIEW
RIVET_HEMLOK 6,4 X 15;Заклёпка HEMLOK 6 4 X 15;NEEDS_HUMAN_REVIEW;не переведены слова: HEMLOK;1;16.000;BRP;BRP;293150119;;нет;нет;нет;нет;1;1;EDIT
SPI FUEL FILTER;Фильтр топливный SPI;HIGH;;1;15.000;SPI;aftermarket;SM-07353;;нет;нет;нет;да;1;8;APPROVE
CLINCH NUT HEXSERT M8;Гайка CLINCH HEXSERT M8;NEEDS_HUMAN_REVIEW;не переведены слова: CLINCH, HEXSERT;1;15.000;BRP;BRP;605636002;;нет;нет;нет;нет;1;1;EDIT
PISTON ASS'Y 76.11 MM, 1ST OVERSIZE;Поршень в сборе 76.11 MM 1ST OVERSIZE;NEEDS_HUMAN_REVIEW;"не переведены слова: OVERSIZE; многозначные слова, одним переводом на всю базу не закрывается: ASS'Y";1;15.000;BRP;BRP;420889051;;нет;да;нет;нет;1;1;EDIT
DRIVEN BOLT KIT M139;Болт DRIVEN комплект M139;NEEDS_HUMAN_REVIEW;"не переведены слова: DRIVEN; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;13.000;BRP;BRP;703500876;;нет;да;нет;нет;1;1;EDIT
BUTTON;Кнопка;HIGH;;1;12.000;BRP;BRP;517304744;;нет;нет;нет;да;1;1;APPROVE
TAPPING SCREW M4.8 X 16;Винт TAPPING M4.8 X 16;NEEDS_HUMAN_REVIEW;не переведены слова: TAPPING;1;12.000;BRP;BRP;417300006;;нет;нет;нет;нет;1;1;EDIT
TORX HEAD SCREW M6 X 16;Винт TORX HEAD M6 X 16;NEEDS_HUMAN_REVIEW;"не переведены слова: HEAD, TORX; многозначные слова, одним переводом на всю базу не закрывается: HEAD";1;12.000;BRP;BRP;250000717;;нет;да;нет;нет;1;1;EDIT
LOCKING ELEMENT;Элемент LOCKING;NEEDS_HUMAN_REVIEW;не переведены слова: LOCKING;1;11.000;BRP;BRP;420845560;;нет;нет;нет;нет;1;1;EDIT
SWIVEL BUSHING;Втулка SWIVEL;NEEDS_HUMAN_REVIEW;не переведены слова: SWIVEL;1;11.000;BRP;BRP;505073329;;нет;нет;нет;нет;1;1;EDIT
KIT SPRING SUPPORT;Кронштейн комплект пружина;MEDIUM;"у слова несколько принятых переводов, выберите нужный: SUPPORT; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;10.000;BRP;BRP;861805547;СНЕГОХОД;нет;да;нет;нет;1;1;EDIT
COTTER PIN;Палец COTTER;NEEDS_HUMAN_REVIEW;не переведены слова: COTTER;1;10.000;BRP;BRP;250400060;СНЕГОХОД;нет;нет;нет;нет;1;1;EDIT
GASKET RING 10/17/2,3;Прокладка RING 10 17 2 3;NEEDS_HUMAN_REVIEW;"не переведены слова: RING; многозначные слова, одним переводом на всю базу не закрывается: RING";1;10.000;BRP;BRP;420431380;СНЕГОХОД;нет;да;нет;нет;1;1;EDIT
HEX.SCREW M6 X 20;;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;10.000;BRP;BRP;420441311;;нет;нет;нет;нет;1;1;REVIEW
SPARK PLUG NGK ILKR8Q7;Свеча зажигания NGK ILKR8Q7;NEEDS_HUMAN_REVIEW;не переведены слова: ILKR8Q7;1;10.000;BRP;BRP;415130651;;нет;нет;нет;нет;1;1;EDIT
LOWER STOPPER;Упор нижний;HIGH;;1;9.000;BRP;BRP;514054529;;нет;нет;нет;да;1;1;APPROVE
BUSHING_SUSPENSION ARM KIT;Втулка подвески ARM комплект;NEEDS_HUMAN_REVIEW;"не переведены слова: ARM; многозначные слова, одним переводом на всю базу не закрывается: ARM, KIT";1;9.000;BRP;BRP;703500875;;нет;да;нет;нет;1;1;EDIT
Hex Sc.  M8 x 20 BN73 m(1=10pcs);;NEEDS_HUMAN_REVIEW;головное слово не распознано;1;9.000;BRP;BRP;40316;;нет;нет;нет;нет;1;1;REVIEW
UPPER ANTI-VIBRATION GASKET;Прокладка верхний ANTI VIBRATION;NEEDS_HUMAN_REVIEW;не переведены слова: ANTI, VIBRATION;1;9.000;BRP;BRP;506152509;;нет;нет;нет;нет;1;1;EDIT
BEARING NEEDLE;Подшипник игольчатый;HIGH;;1;8.000;BRP;BRP;420832445;;нет;нет;нет;да;1;1;APPROVE
DAMPER;Демпфер;HIGH;;1;8.000;BRP;BRP;707001169;;нет;нет;нет;да;1;1;APPROVE
EXHAUST VALVE, LOWER;Клапан выпускной нижний;HIGH;;1;8.000;BRP;BRP;420854974;СНЕГОХОД;нет;нет;нет;да;1;1;APPROVE
BLACK WHEEL CAP;Колпак колеса чёрный;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;1;8.000;BRP;BRP;503192771;;нет;нет;нет;нет;1;1;EDIT
FASTENER KIT;Крепёж комплект;MEDIUM;"в названии есть многозначное слово, проверьте смысл; многозначные слова, одним переводом на всю базу не закрывается: KIT";1;8.000;BRP;BRP;860200808;;нет;да;нет;нет;1;1;EDIT
RETAINER CUSHION;Подушка фиксатор;MEDIUM;проверьте порядок слов: RETAINER;1;8.000;BRP;BRP;503190754;;нет;нет;нет;нет;1;1;EDIT
