article;english_name;suggested_russian_name;confidence;ambiguity_note;manufacturer;in_stock_qty;priority;special
;Впускной коллектор 550XU;;NEEDS HUMAN REVIEW;название уже содержит русский текст;BRP;8;1;без артикула, нет каталога поставщика, название уже по-русски
417224204;AXLE - 10MM;Ось 10MM;HIGH;;BRP;7.000;1;
420832176;BALL BEARING;Подшипник шариковый;HIGH;;BRP;7.000;1;
420950912;GASKET 0,6;Прокладка 0 6;HIGH;;BRP;7.000;1;
517303756;GROMMET;Втулка резиновая;HIGH;;BRP;7.000;1;
512061126;IGNITION CABLE;Трос IGNITION;NEEDS HUMAN REVIEW;не переведены слова: IGNITION;BRP;7.000;1;
619230070;MAGNETIC PLUG;Пробка MAGNETIC;NEEDS HUMAN REVIEW;не переведены слова: MAGNETIC;BRP;7.000;1;
420931410;O-RING;Кольцо уплотнительное;HIGH;;BRP;7.000;1;
420960205;PROTECTION HOSE;Шланг PROTECTION;NEEDS HUMAN REVIEW;не переведены слова: PROTECTION;BRP;7.000;1;
421000667;REBUILD-CYLINDER NICAS 593ETEC 08-09;Цилиндр REBUILD NICAS 593ETEC 08 09;NEEDS HUMAN REVIEW;не переведены слова: NICAS, REBUILD;BRP;7.000;1;rebuild
417127016;ROLLER_PULLEY;Ролик шкива;HIGH;;BRP;7.000;1;
505071779;SKI STOPPER;Ограничитель лыжи;HIGH;;BRP;7.000;1;
415129944;SPARK PLUG NGK MR8BI-8;Свеча зажигания NGK MR8BI 8;NEEDS HUMAN REVIEW;не переведены слова: MR8BI;BRP;7.000;1;
250100198;SPRING NUT U M6 X 1.0;Гайка пружина U M6 X 1.0;MEDIUM;проверьте порядок слов: SPRING;BRP;7.000;1;
420841550;TAPPING SCREW M5 X 22;Винт TAPPING M5 X 22;NEEDS HUMAN REVIEW;не переведены слова: TAPPING;BRP;7.000;1;
420650300;THERMOSTAT GASKET;Прокладка термостат;MEDIUM;проверьте порядок слов: THERMOSTAT;BRP;7.000;1;
706202044;BALL JOINT;Шаровая опора;HIGH;;BRP;6.000;1;
417004305;BUSHING;Втулка;HIGH;;BRP;6.000;1;
709400783;BUSHING_HALF;Втулка HALF;NEEDS HUMAN REVIEW;не переведены слова: HALF;BRP;6.000;1;
706004640;BUSHING_STABILIZER BAR;Втулка стабилизатора BAR;NEEDS HUMAN REVIEW;не переведены слова: BAR;BRP;6.000;1;
706204796;BUSHING_STABILIZER BAR;Втулка стабилизатора BAR;NEEDS HUMAN REVIEW;не переведены слова: BAR;BRP;6.000;1;
506153294;CAP;Колпачок;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;BRP;6.000;1;
420236351;CHAIN GUIDE;Направляющая цепь;MEDIUM;проверьте порядок слов: CHAIN;BRP;6.000;1;
514054174;EXHAUST GASKET;Прокладка выпускного коллектора;HIGH;;BRP;6.000;1;
420831849;GASKET 1.0 MM;Прокладка 1.0 MM;HIGH;;BRP;6.000;1;
420430070;GASKET ENGINE SUPPORT;Кронштейн прокладка двигателя;MEDIUM;у слова несколько принятых переводов, выберите нужный: SUPPORT;BRP;6.000;1;
506152578;HEATING ELEMENT 20 WATT;Элемент HEATING 20 WATT;NEEDS HUMAN REVIEW;не переведены слова: HEATING, WATT;BRP;6.000;1;
233281434;HEX. FLANGED ELASTIC NUT M8;Гайка шестигранный фланцевый ELASTIC M8;NEEDS HUMAN REVIEW;не переведены слова: ELASTIC;BRP;6.000;1;
236281684;HEX. SCREW M8 X 16;Винт шестигранный M8 X 16;HIGH;;BRP;6.000;1;
861805521;HOOK KIT;Крюк комплект;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;6.000;1;
506153177;INSULATION_THERMAL;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;6.000;1;
420667533;INTAKE SOCKET WITH REED VALVE;Клапан впускной гнездо WITH REED;NEEDS HUMAN REVIEW;не переведены слова: REED, WITH;BRP;6.000;1;
420250407;O-RING;Кольцо уплотнительное;HIGH;;BRP;6.000;1;
705501711;O-RING;Кольцо уплотнительное;HIGH;;BRP;6.000;1;
420250890;O-RING;Кольцо уплотнительное;HIGH;;BRP;6.000;1;
420851683;OETIKER CLAMP;Хомут OETIKER;HIGH;;BRP;6.000;1;
420650315;OIL SEAL;Сальник;HIGH;;BRP;6.000;1;
705501557;OIL SEAL;Сальник;HIGH;;BRP;6.000;1;
250400101;PIN_SPRING 2.6MM X 20.5MM;Пружина палец 2.6MM X 20.5MM;MEDIUM;проверьте порядок слов: PIN;BRP;6.000;1;
420889174;PISTON ASS?Y, 76.13 MM, OVERSIZE;Поршень ASS?Y 76.13 MM OVERSIZE;NEEDS HUMAN REVIEW;не переведены слова: ASS?Y, OVERSIZE;BRP;6.000;1;
420916480;PISTON PIN;Палец поршневой;HIGH;;BRP;6.000;1;
293150183;RIVET_HEMLOK 6,4 X 18;Заклёпка HEMLOK 6 4 X 18;NEEDS HUMAN REVIEW;не переведены слова: HEMLOK;BRP;6.000;1;
517305734;ROD_RETAINING;;NEEDS HUMAN REVIEW;слово «ROD» без человека однозначно не перевести;BRP;6.000;1;
417222947;ROLLER;Ролик;HIGH;;BRP;6.000;1;
417224947;ROLLER_PULLEY ASSY;Ролик шкива в сборе;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;6.000;1;
417224153;ROLLER_PULLEY INT;Ролик шкива INT;NEEDS HUMAN REVIEW;не переведены слова: INT;BRP;6.000;1;
715900118;RUBBER BOOT;Пыльник резиновый;HIGH;;BRP;6.000;1;
277001802;SWITCH KNOB, RED;Выключатель KNOB RED;NEEDS HUMAN REVIEW;не переведены слова: KNOB, RED;BRP;6.000;1;
293250084;WATERTIGHT SEAL;Сальник WATERTIGHT;NEEDS HUMAN REVIEW;не переведены слова: WATERTIGHT;BRP;6.000;1;
570063600;WHEEL CAP;Колпак колеса;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;BRP;6.000;1;
420832596;BALL BEARING;Подшипник шариковый;HIGH;;BRP;5.000;1;
505072976;BLACK HANDLE;Ручка чёрный;HIGH;;BRP;5.000;1;
420233980;BUSHING HALF;Втулка HALF;NEEDS HUMAN REVIEW;не переведены слова: HALF;BRP;5.000;1;
420236584;CHAIN GUIDE;Направляющая цепь;MEDIUM;проверьте порядок слов: CHAIN;BRP;5.000;1;
420436014;CHAIN TENSION GUIDE;Направляющая цепь TENSION;NEEDS HUMAN REVIEW;не переведены слова: TENSION;BRP;5.000;1;
513034279;FILTER_FUEL;Фильтр топливный;HIGH;;BRP;5.000;1;
515175664;HEATING GRIP;Рукоятка HEATING;NEEDS HUMAN REVIEW;не переведены слова: HEATING;BRP;5.000;1;
517306310;LATCH - LEFT;Защёлка левый;HIGH;;BRP;5.000;1;
517306309;LATCH - RIGHT;Защёлка правый;HIGH;;BRP;5.000;1;
420854904;LOWER EXHAUST VALVE;Клапан выпускной нижний;HIGH;;BRP;5.000;1;
293300086;O-RING;Кольцо уплотнительное;HIGH;;BRP;5.000;1;
293650199;OETIKER CLAMP;Хомут OETIKER;HIGH;;BRP;5.000;1;
293650100;OETIKER CLAMP;Хомут OETIKER;HIGH;;BRP;5.000;1;
293650030;OETIKER CLAMP;Хомут OETIKER;HIGH;;BRP;5.000;1;
619230019;OIL SEAL;Сальник;HIGH;;BRP;5.000;1;
506152163;PLATE;Пластина;MEDIUM;у слова несколько принятых переводов, выберите нужный: PLATE;BRP;5.000;1;
515176774;RELAY, 30 AMP;Реле 30 AMP;NEEDS HUMAN REVIEW;не переведены слова: AMP;BRP;5.000;1;
293150120;RIVET_HEMLOK 6,4 X 19;Заклёпка HEMLOK 6 4 X 19;NEEDS HUMAN REVIEW;не переведены слова: HEMLOK;BRP;5.000;1;
420941256;SCREW TORX TAPTITE FLANGE M6X20;Фланец винт TORX TAPTITE M6X20;NEEDS HUMAN REVIEW;не переведены слова: TAPTITE, TORX;BRP;5.000;1;
420281296;SLIDER SHOE SET 1 SET = 12 PC;Ползун направляющей SET 1 SET = 12 PC;NEEDS HUMAN REVIEW;не переведены слова: SET;BRP;5.000;1;
415130795;SPARK PLUG NGK CR8EB;Свеча зажигания NGK CR8EB;NEEDS HUMAN REVIEW;не переведены слова: CR8EB;BRP;5.000;1;
715900637;SPARK PLUG NGK DCPR8E;Свеча зажигания NGK DCPR8E;NEEDS HUMAN REVIEW;не переведены слова: DCPR8E;BRP;5.000;1;
415107100;SPRING;Пружина;HIGH;;BRP;5.000;1;
420881102;SUPERCHARGER KIT;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;5.000;1;
250000722;TORX SCREW M6 X 20;Винт TORX M6 X 20;NEEDS HUMAN REVIEW;не переведены слова: TORX;BRP;5.000;1;
705400036;WEAR RING;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;5.000;1;
707001274;ADAPTOR;Переходник;HIGH;;BRP;4.000;1;
293350150;BALL BEARING;Подшипник шариковый;HIGH;;BRP;4.000;1;
420832178;BALL BEARING;Подшипник шариковый;HIGH;;BRP;4.000;1;
420933492;BEARING SLEEVE;Втулка подшипника;HIGH;;BRP;4.000;1;
705004987;BRACKET COVER;Крышка кронштейн;MEDIUM;проверьте порядок слов: BRACKET;BRP;4.000;1;
291000339;BUMPER PLUG, BLACK;Пробка бампер чёрный;MEDIUM;проверьте порядок слов: BUMPER;BRP;4.000;1;
505072209;BUSHING;Втулка;HIGH;;BRP;4.000;1;
505072143;BUSHING;Втулка;HIGH;;BRP;4.000;1;
420233965;BUSHING;Втулка;HIGH;;BRP;4.000;1;
706200186;BUSHING;Втулка;HIGH;;BRP;4.000;1;
505072208;BUSHING;Втулка;HIGH;;BRP;4.000;1;
293250389;BUSHING;Втулка;HIGH;;BRP;4.000;1;
706201590;BUSHING-INT.;Втулка INT.;NEEDS HUMAN REVIEW;не переведены слова: INT.;BRP;4.000;1;
420867105;CARBURETOR SOCKET;Гнездо карбюратор;MEDIUM;проверьте порядок слов: CARBURETOR;BRP;4.000;1;
420236510;CHAIN TENSIONER HOUSING;Натяжитель цепи корпус;MEDIUM;проверьте порядок слов: HOUSING;BRP;4.000;1;
420236521;CHAIN TENSIONER PLUNGER;Натяжитель цепи PLUNGER;NEEDS HUMAN REVIEW;не переведены слова: PLUNGER;BRP;4.000;1;
414227300;CLIP;Клипса;HIGH;;BRP;4.000;1;
420641640;CONNECTING ROD SCREW M8 X 1;Шатун винт M8 X 1;MEDIUM;проверьте порядок слов: SCREW;BRP;4.000;1;
420854371;EXHAUST VALVE;Клапан выпускной;HIGH;;BRP;4.000;1;
420854890;EXHAUST VALVE;Клапан выпускной;HIGH;;BRP;4.000;1;
420854980;EXHAUST VALVE, UPPER;Клапан выпускной верхний;HIGH;;BRP;4.000;1;
707002585;FLEXIBLE ADAPTOR;Переходник FLEXIBLE;NEEDS HUMAN REVIEW;не переведены слова: FLEXIBLE;BRP;4.000;1;
420931813;GASKET;Прокладка;HIGH;;BRP;4.000;1;
420630265;GASKET;Прокладка;HIGH;;BRP;4.000;1;
420931542;GASKET;Прокладка;HIGH;;BRP;4.000;1;
420430482;GASKET;Прокладка;HIGH;;BRP;4.000;1;
420430037;GASKET VALVE ROD HOUSING;Корпус прокладка клапан ROD;NEEDS HUMAN REVIEW;не переведены слова: ROD;BRP;4.000;1;
420933442;HALF BUSHING;Втулка HALF;NEEDS HUMAN REVIEW;не переведены слова: HALF;BRP;4.000;1;
267000206;IMPELLER BOOT;Пыльник крыльчатки;HIGH;;BRP;4.000;1;
506153176;INSULATION_THERMAL;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;4.000;1;
707000949;ISOLATOR;Изолятор;HIGH;;BRP;4.000;1;
505074133;JOINT_BALL LWR;;NEEDS HUMAN REVIEW;слово «JOINT» без человека однозначно не перевести;BRP;4.000;1;
415129781;MAINTENANCE CLUTCH KIT eDrive II;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;4.000;1;
293350017;NEEDLE BEARING;Подшипник игольчатый;HIGH;;BRP;4.000;1;
420832030;NEEDLE BEARING;Подшипник игольчатый;HIGH;;BRP;4.000;1;
420632435;NEEDLE PIN;Палец игла;MEDIUM;проверьте порядок слов: NEEDLE;BRP;4.000;1;
420230306;O-RING;Кольцо уплотнительное;HIGH;;BRP;4.000;1;
420631610;O-RING;Кольцо уплотнительное;HIGH;;BRP;4.000;1;
420950940;OIL SEAL;Сальник;HIGH;;BRP;4.000;1;
705501996;OIL SEAL;Сальник;HIGH;;BRP;4.000;1;
420852633;PAWL;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;4.000;1;
715500337;PIN KIT;Палец комплект;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;4.000;1;
417127294;PIN_ROLLER;Ролик палец;MEDIUM;проверьте порядок слов: PIN;BRP;4.000;1;
420893970;PISTON ASS'Y, 73.958 MM;Поршень в сборе 73.958 MM;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;4.000;1;
421000702;REBUILD-CYLINDER NI SI C;Цилиндр REBUILD NI SI C;NEEDS HUMAN REVIEW;не переведены слова: REBUILD;BRP;4.000;1;rebuild
420924798;REED VALVE ASS'Y;Клапан REED в сборе;NEEDS HUMAN REVIEW;не переведены слова: REED;BRP;4.000;1;
505071812;RETAINER;Фиксатор;HIGH;;BRP;4.000;1;
517305723;RING;;NEEDS HUMAN REVIEW;слово «RING» без человека однозначно не перевести;BRP;4.000;1;
420931590;RUBBER RING;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;4.000;1;
605348439;RUBBER STOPPER;Упор резиновый;HIGH;;BRP;4.000;1;
420840096;SCREW-HEX.M8 X 60;Винт HEX.M8 X 60;NEEDS HUMAN REVIEW;не переведены слова: HEX.M8;BRP;4.000;1;
420297063;SILENT CHAIN;Цепь SILENT;NEEDS HUMAN REVIEW;не переведены слова: SILENT;BRP;4.000;1;
505073209;SKI AXLE;Ось лыжа;MEDIUM;проверьте порядок слов: SKI;BRP;4.000;1;
505074831;SKI STOPPER;Ограничитель лыжи;HIGH;;BRP;4.000;1;
706001282;SPACER;Проставка;HIGH;;BRP;4.000;1;
420238558;SPRING;Пружина;HIGH;;BRP;4.000;1;
515176088;START/RER BUTTON;Кнопка START RER;NEEDS HUMAN REVIEW;не переведены слова: RER, START;BRP;4.000;1;
420660124;TORQUE GEAR;Шестерня TORQUE;NEEDS HUMAN REVIEW;не переведены слова: TORQUE;BRP;4.000;1;
250000586;TORX-TRUSS M/S NYLON PATCH M5X20;;NEEDS HUMAN REVIEW;головное слово не распознано;BRP;4.000;1;
414803100;UPPER CUSHION;Подушка верхний;HIGH;;BRP;4.000;1;
420980514;V-BELT;Ремень V;HIGH;;BRP;4.000;1;
420854442;VALVE COVER;Крышка клапан;MEDIUM;проверьте порядок слов: VALVE;BRP;4.000;1;
250200014;WASHER;Шайба;HIGH;;BRP;4.000;1;
706201660;WEAR PLATE;Пластина WEAR;NEEDS HUMAN REVIEW;не переведены слова: WEAR;BRP;4.000;1;
705002409;AMBER REFLECTOR;Катафот AMBER;NEEDS HUMAN REVIEW;не переведены слова: AMBER;BRP;3.000;1;
420832575;BALL BEARING;Подшипник шариковый;HIGH;;BRP;3.000;1;
420832672;BALL BEARING;Подшипник шариковый;HIGH;;BRP;3.000;1;
420260725;BELLOWS;Гофра;HIGH;;BRP;3.000;1;
860200239;BLACK LATCH KIT;Защёлка чёрный комплект;MEDIUM;в названии есть многозначное слово, проверьте смысл;BRP;3.000;1;
705501864;BOOT CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;3.000;1;
705400512;BOOT CV JOINT KIT;Комплект пыльника ШРУС;HIGH;;BRP;3.000;1;
420233960;BUSHING;Втулка;HIGH;;BRP;3.000;1;
420233995;BUSHING HALF;Втулка HALF;NEEDS HUMAN REVIEW;не переведены слова: HALF;BRP;3.000;1;
417224113;CAM MOLDED;;NEEDS HUMAN REVIEW;слово «CAM» без человека однозначно не перевести;BRP;3.000;1;
420960770;CAP;Колпачок;MEDIUM;у слова несколько принятых переводов, выберите нужный: CAP;BRP;3.000;1;
420231070;CENTRIFUGAL WEIGHT;Груз CENTRIFUGAL;NEEDS HUMAN REVIEW;не переведены слова: CENTRIFUGAL;BRP;3.000;1;
420660543;CHECK VALVE;Клапан обратный;HIGH;;BRP;3.000;1;
293370038;CIRCLIP;Кольцо стопорное;HIGH;;BRP;3.000;1;
506152709;CLEAR HANDLE BAR;Ручка CLEAR BAR;NEEDS HUMAN REVIEW;не переведены слова: BAR, CLEAR;BRP;3.000;1;
420942331;COLLAR NUT M8;Гайка COLLAR M8;NEEDS HUMAN REVIEW;не переведены слова: COLLAR;BRP;3.000;1;
420231090;DEKO WASHER;Шайба DEKO;NEEDS HUMAN REVIEW;не переведены слова: DEKO;BRP;3.000;1;
420831021;DOUBLE GASKET 0.6 MM;Прокладка DOUBLE 0.6 MM;NEEDS HUMAN REVIEW;не переведены слова: DOUBLE;BRP;3.000;1;
272000173;DRIVE SHAFT PLUG;Пробка приводной вал;MEDIUM;проверьте порядок слов: SHAFT;BRP;3.000;1;
732601143;FLANGED SCREW;Винт фланцевый;HIGH;;BRP;3.000;1;
420460430;FRICTION WASHER;Шайба FRICTION;NEEDS HUMAN REVIEW;не переведены слова: FRICTION;BRP;3.000;1;
518327487;FRONT SUSPENSION SUPPORT;Кронштейн передний подвески;MEDIUM;у слова несколько принятых переводов, выберите нужный: SUPPORT;BRP;3.000;1;
420431041;GASKET;Прокладка;HIGH;;BRP;3.000;1;
506152560;GRIP 148MM;Рукоятка 148MM;HIGH;;BRP;3.000;1;
271002228;GUARD;Защита;HIGH;;BRP;3.000;1;
506152825;HANDLEBAR ANODIZED;Руль ANODIZED;NEEDS HUMAN REVIEW;не переведены слова: ANODIZED;BRP;3.000;1;
420440568;HEX. DISTANCE SCREW M6 X 30.5;Винт шестигранный DISTANCE M6 X 30.5;NEEDS HUMAN REVIEW;не переведены слова: DISTANCE;BRP;3.000;1;
420641762;HEX. FLANGED SCREW M10 X 150;Винт шестигранный фланцевый M10 X 150;HIGH;;BRP;3.000;1;
503190434;LABYRINTH SEAL;Сальник LABYRINTH;NEEDS HUMAN REVIEW;не переведены слова: LABYRINTH;BRP;3.000;1;
420632070;NEEDLE BEARING;Подшипник игольчатый;HIGH;;BRP;3.000;1;
420230920;O-RING;Кольцо уплотнительное;HIGH;;BRP;3.000;1;
293300090;O-RING;Кольцо уплотнительное;HIGH;;BRP;3.000;1;
619230028;O-RING;Кольцо уплотнительное;HIGH;;BRP;3.000;1;
293300122;O-RING;Кольцо уплотнительное;HIGH;;BRP;3.000;1;
420631220;O-RING;Кольцо уплотнительное;HIGH;;BRP;3.000;1;
705502065;O-RING;Кольцо уплотнительное;HIGH;;BRP;3.000;1;
293300022;O-RING, 64 MM X 2 MM;Кольцо уплотнительное 64 MM X 2 MM;HIGH;;BRP;3.000;1;
293650099;OETIKER CLAMP;Хомут OETIKER;HIGH;;BRP;3.000;1;
